file	utterances	with_markers	⌈	⌉	⌊	⌋	cross_pairs	timed_pairs	temporal_ok	quality
12gulfwar	104	18	9	0	9	0	9	9	9	open_only
13gulfwar	69	10	5	0	5	0	5	5	5	open_only
14gulfwar	60	6	3	0	3	0	3	3	3	open_only
15gulfwar	85	10	5	0	5	0	5	5	5	open_only
1gulfwar	59	2	1	1	1	1	1	1	1	fully_paired
2gulfwar	126	10	5	3	5	3	5	5	5	fully_paired
3gulfwar	162	12	6	0	6	0	6	6	6	open_only
4gulfwar	124	6	3	0	3	0	3	3	3	open_only
5gulfwar	55	10	5	0	5	0	5	5	5	open_only
6gulfwar	35	2	1	0	1	0	1	1	1	open_only
8gulfwar	47	6	3	0	3	0	3	3	3	open_only
9gulfwar	51	8	4	0	4	0	4	4	4	open_only
1-group	9	2	1	0	1	0	1	1	1	open_only
3-beauty	160	1	0	0	1	0	0	0	0	open_only
7-interview	12	6	3	0	3	0	3	0	0	open_only
bs1	32	6	3	0	3	0	3	0	0	open_only
bs2	117	78	42	5	43	6	42	0	0	fully_paired
bs4	43	20	11	1	12	1	11	0	0	fully_paired
bs5	348	228	134	12	135	11	134	0	0	fully_paired
01golf	231	67	35	14	37	13	35	0	0	fully_paired
02countryclub	21	3	2	0	2	0	2	0	0	open_only
05directions	39	10	5	0	5	0	5	0	0	open_only
06fungus	184	104	55	23	57	22	55	0	0	fully_paired
07assassination1	204	125	72	44	74	43	72	0	0	fully_paired
08assassination2	451	352	201	131	204	123	201	0	0	mixed
09palmsprings	218	137	76	46	77	46	76	0	0	fully_paired
10blinddate	425	356	206	144	214	140	206	0	0	mixed
11goldbridge	166	107	60	52	61	51	60	0	0	fully_paired
12invitation	264	160	90	59	93	60	86	0	0	mixed
13hightide	109	62	34	24	34	23	34	0	0	fully_paired
14anniversary	171	107	57	31	61	31	57	0	0	mixed
15fishing	42	36	19	5	19	5	19	0	0	fully_paired
16dreary	199	127	70	43	71	41	70	0	0	fully_paired
17tacos	67	43	23	12	23	12	23	0	0	fully_paired
18clothing	113	52	29	26	30	26	29	0	0	fully_paired
19paper	82	69	41	32	41	32	41	0	0	fully_paired
20marysinvitation	62	40	21	13	21	10	21	0	0	fully_paired
21swimnude	953	706	407	294	414	291	407	7	7	mixed
22thanksgiving	81	69	44	30	45	30	44	0	0	fully_paired
23marines	53	40	22	14	22	14	22	0	0	fully_paired
24meatless	375	249	143	88	146	86	143	0	0	mixed
25powertools	357	298	162	126	168	127	162	0	0	mixed
Poetics	683	41	22	22	22	21	22	0	0	fully_paired
adv700ju023	1138	1	0	0	1	0	0	0	0	open_only
adv700ju047	3018	10	0	1	0	9	0	0	0	fully_paired
col285mx038	542	2	0	1	0	1	0	0	0	fully_paired
col999mx040	836	1	0	1	0	0	0	0	0	mixed
col999mx059	666	1	0	1	0	0	0	0	0	mixed
def270sf061	1276	1	0	0	0	1	0	0	0	mixed
dis175su027	492	2	0	1	1	0	0	0	0	mixed
dis475mu012	666	1	0	0	0	1	0	0	0	mixed
lab175su026	2272	9	0	5	0	4	0	0	0	fully_paired
lab175su032	1788	3	0	2	0	1	0	0	0	fully_paired
lab175su033	930	1	0	0	0	1	0	0	0	mixed
lab200ju018	1309	3	0	2	0	1	0	0	0	fully_paired
lab500su044	1296	1	0	0	0	1	0	0	0	mixed
lab500su089	1167	1	0	0	0	1	0	0	0	mixed
lel185su066	1201	2	0	2	0	0	0	0	0	mixed
lel565su064	942	1	0	1	0	0	0	0	0	mixed
les175su028	471	1	0	1	0	0	0	0	0	mixed
les220su140	1680	3	0	2	0	1	0	0	0	fully_paired
les565su137	1377	4	0	0	0	4	0	0	0	mixed
les605su080	847	1	0	0	0	1	0	0	0	mixed
mtg270sg049	1193	1	0	0	0	1	0	0	0	mixed
mtg425jg004	1515	4	0	2	0	2	0	0	0	fully_paired
mtg485sg142	804	1	0	0	0	1	0	0	0	mixed
mtg999st015	1640	1	0	0	0	1	0	0	0	mixed
ofc115su060	3555	2	0	1	0	1	0	0	0	fully_paired
ofc150mu042	2359	2	0	0	0	2	0	0	0	mixed
ofc175ju145	896	2	0	0	0	2	0	0	0	mixed
ofc195su116	2811	12	0	6	0	6	0	0	0	fully_paired
ofc270mg048	2436	3	0	3	0	0	0	0	0	mixed
ofc280su109	1656	1	0	1	0	0	0	0	0	mixed
ofc300ju149	1063	2	0	0	0	2	0	0	0	mixed
ofc320su153	1129	2	0	2	0	0	0	0	0	mixed
ofc578sg037	502	2	0	1	0	1	0	0	0	fully_paired
sem300mu100	1988	1	0	0	0	1	0	0	0	mixed
sem475mx041	1535	2	0	1	0	1	0	0	0	fully_paired
sem495su111	1538	5	0	3	0	2	0	0	0	fully_paired
sem545mg083	2293	4	0	3	0	1	0	0	0	fully_paired
svc999mx104	3303	4	0	2	0	2	0	0	0	fully_paired
svc999mx148	1745	1	0	1	0	0	0	0	0	mixed
stp125jg050	2118	4	0	2	0	2	0	0	0	fully_paired
stp200ju019	587	1	0	0	0	1	0	0	0	mixed
stp560jg118	684	1	0	0	0	1	0	0	0	mixed
